source,building_id,longitude,latitude,height_m,층수,용도,종류
map1,186,227332.2649304882,379589.4017355957,3.0,1,기타시설,가건물
map1,187,227407.648,379816.9305,3.0,1,기타시설,무벽건물
map1,188,227798.05900000004,380111.10500000004,3.0,1,기타시설,무벽건물
map1,189,227790.41351946344,380124.39116623113,3.0,1,기타시설,무벽건물
map1,190,227548.8312843215,379954.6804530174,3.0,1,기타시설,가건물
map1,191,227534.95671452154,379960.3205339699,3.0,1,근린생활시설,주택외건물
map1,192,227535.28017984098,379964.89632953354,3.0,1,근린생활시설,주택외건물
map1,193,227534.4192262386,379969.47099483473,3.0,1,근린생활시설,주택외건물
map1,194,227533.53748630526,379974.01731848955,3.0,1,근린생활시설,주택외건물
map1,195,227543.338212204,379961.38003333437,3.0,1,근린생활시설,주택외건물
map1,196,227596.1028229362,380116.4939217929,3.0,1,기타시설,무벽건물
map1,197,227557.83062714254,380110.6577458275,3.0,1,기타시설,가건물
map1,198,227565.16896373325,380108.1592190947,3.0,1,기타시설,무벽건물
map1,199,227293.88050000003,380126.1115000001,3.0,1,기타시설,무벽건물
map1,200,227663.4215047383,380186.01366817503,3.0,1,기타시설,무벽건물
map1,201,227569.60249999995,380163.6845,3.0,1,기타시설,무벽건물
map1,202,227401.42260972149,380345.62494999886,3.0,1,근린생활시설,무벽건물
map1,203,227402.61349999998,380340.337,3.0,1,근린생활시설,무벽건물
map1,204,227437.44750981618,380370.189210303,3.0,1,근린생활시설,무벽건물
map1,205,227365.60499999998,380427.4685,3.0,1,기타시설,가건물
map1,206,227370.02370276395,380435.0105234513,3.0,1,기타시설,가건물
map1,207,227364.9505,380430.6995,3.0,1,기타시설,가건물
map1,208,227387.86867358733,378127.6456575957,3.0,1,기타시설,무벽건물
map1,209,227415.79449999996,378355.68999999994,3.0,1,기타시설,가건물
map1,210,227490.3834075482,378426.92654896894,3.0,1,기타시설,가건물
map1,211,227633.60646177546,378432.1976893491,3.0,1,기타시설,가건물
map1,212,227666.14284049766,378583.71170926536,3.0,1,기타시설,가건물
map1,213,227834.6802408119,378657.9721667115,3.0,1,기타시설,가건물
map1,214,227670.95100000003,378637.79799999995,3.0,1,기타시설,가건물
map1,215,227780.53833023758,378743.46900256985,3.0,1,기타시설,가건물
map1,216,227769.3800787487,378719.83827938227,3.0,1,기타시설,가건물
map1,217,227740.4661995897,379020.6623598681,3.0,1,기타시설,가건물
map1,218,227699.1542236725,379063.2725427601,3.0,1,기타시설,가건물
map1,219,227691.7457191895,379061.9740488914,3.0,1,기타시설,가건물
map1,220,227664.08278448004,379054.80646175385,3.0,1,기타시설,무벽건물
map1,221,227663.7164906126,379057.3891831558,3.0,1,기타시설,무벽건물
map1,222,227730.9790511094,379116.5992929522,3.0,1,기타시설,무벽건물
map1,223,227724.2141954751,379116.8607802312,3.0,1,기타시설,무벽건물
map1,224,227815.6215,379309.7395,3.0,1,기타시설,무벽건물
map1,225,227719.97928015172,379260.79634019267,3.0,1,기타시설,무벽건물
map1,226,227576.57699999996,379296.0705,3.0,1,기타시설,가건물
map1,227,227578.19232450594,379312.3013543891,3.0,1,기타시설,무벽건물
map1,228,227575.01372325447,379314.74304149527,3.0,1,기타시설,무벽건물
map1,229,227707.27077647496,379326.36595592176,3.0,1,기타시설,가건물
map1,230,227570.2301212687,379461.2340545217,3.0,1,기타시설,가건물
map1,231,227564.25816617065,379459.7942725935,3.0,1,기타시설,가건물
map1,232,227804.8356888199,379687.7787092259,3.0,1,기타시설,가건물
map1,233,227803.4478043121,379715.40205407556,3.0,1,기타시설,가건물
map1,234,227628.9137843696,379823.2819678014,3.0,1,기타시설,무벽건물
map1,235,227427.07196686917,378578.6588448666,3.0,1,기타시설,무벽건물
map1,236,227411.55503710057,378575.0777943337,3.0,1,기타시설,가건물
map1,237,227492.5765337205,378745.0917976859,3.0,1,기타시설,가건물
map1,238,227518.1106865061,378972.5513846141,3.0,1,위험물저장및처리시설,무벽건물
map1,239,227503.4545,378957.714,3.0,1,기타시설,무벽건물
map1,240,227382.77369521194,379260.7211145066,3.0,1,기타시설,무벽건물
map1,241,227469.766,379238.801,3.0,1,기타시설,무벽건물
map1,242,227480.49239253785,379240.1987266326,3.0,1,기타시설,가건물
map1,243,227494.568,379242.90599999996,3.0,1,기타시설,가건물
map1,244,227499.88402502518,379244.0011898651,3.0,1,기타시설,가건물
map1,245,227466.1004813536,379287.1810238558,3.0,1,기타시설,무벽건물
map1,246,227482.8235,379294.53900000005,3.0,1,기타시설,가건물
map1,247,227474.68478613783,379291.57695149386,3.0,1,기타시설,무벽건물
map1,248,227469.51128501096,379290.95642476476,3.0,1,기타시설,무벽건물
map1,249,227502.56999999995,379373.2885,3.0,1,기타시설,가건물
map1,250,227336.60657082184,379372.29433276004,3.0,1,기타시설,무벽건물
map1,251,227385.68468680256,379412.0934800397,3.0,1,기타시설,가건물
map1,252,227436.43249999997,379434.65300000005,3.0,1,기타시설,가건물
map1,253,227436.944,379441.6305,3.0,1,기타시설,가건물
map1,254,227545.3832704271,379597.94637927937,3.0,1,기타시설,무벽건물
map1,255,227841.182,379348.57300000003,3.0,1,기타시설,가건물
map1,256,227955.97657740838,379706.4535118673,6.0,2,주택,일반주택
map1,257,227948.44615633244,379689.7608148251,6.0,2,주택,일반주택
map1,258,227932.3602679412,379687.3503112743,3.0,1,주택,일반주택
map1,259,228828.7175,378499.57500000007,3.0,1,기타시설,가건물
map1,260,228820.33869325143,378495.2001661823,3.0,1,기타시설,가건물
map1,261,228182.21598908422,378327.53180468193,3.0,1,기타시설,무벽건물
map1,262,229111.36697839,378580.10729791626,3.0,1,기타시설,무벽건물
map1,263,227732.78100000002,378105.86649999995,3.0,1,운동시설,무벽건물
map1,264,227739.8727376146,378108.2448514674,3.0,1,운동시설,무벽건물
map1,265,227698.82849999997,378197.676,3.0,1,공장,무벽건물
map1,266,227698.62966372262,378203.4488185477,3.0,1,공장,무벽건물
map1,267,227697.104,378212.0065000001,3.0,1,공장,무벽건물
map1,268,227703.97681238188,378226.9554809569,3.0,1,공장,무벽건물
map1,269,227505.78213584863,378374.5270435484,3.0,1,기타시설,무벽건물
map1,270,227501.9879105633,378374.5939700323,3.0,1,기타시설,무벽건물
map1,271,227572.84192085871,378350.76471344766,3.0,1,기타시설,무벽건물
map1,272,227573.00520085258,378355.34389522974,3.0,1,기타시설,무벽건물
map1,273,227572.3822045529,378361.09302934865,3.0,1,기타시설,무벽건물
map1,274,227660.1527162191,378582.6315490882,3.0,1,기타시설,가건물
map1,275,227658.3325,378694.0665,3.0,1,기타시설,무벽건물
map1,276,227639.59161349852,378717.3012812762,3.0,1,기타시설,가건물
map1,277,228256.71290969246,379785.1173333725,3.0,1,기타시설,무벽건물
map1,278,229258.13271272625,380485.403803208,45.0,15,주택,아파트
map1,279,229254.3665156285,380412.41594324476,45.0,15,주택,아파트
map1,280,229260.348705838,380343.849745045,45.0,15,주택,아파트
map1,281,227317.58033195575,379479.25609212543,3.0,1,기타시설,무벽건물
map1,282,227690.6461009773,379058.7970056738,3.0,1,주택,일반주택
map1,283,227376.09669034937,379434.8739452972,6.0,2,근린생활시설,주택외건물
map1,284,227382.7599170979,380286.3644121708,3.0,1,기타시설,무벽건물
map1,285,227431.66631276172,379568.31785059394,3.0,1,기타시설,가건물
map1,286,227354.46819570393,379340.6610366333,3.0,1,기타시설,무벽건물
map1,287,227398.23053166803,379249.4356723343,3.0,1,기타시설,무벽건물
map1,288,227398.310568539,379121.00947193324,3.0,1,기타시설,무벽건물
map1,289,227510.55479120335,378370.3842394382,3.0,1,기타시설,무벽건물
map1,290,227617.38298564518,378486.01275394537,3.0,1,기타시설,무벽건물
map1,291,227598.1363606455,378552.83965191594,3.0,1,기타시설,무벽건물
map1,292,227639.89286216334,378598.0660883625,3.0,1,기타시설,무벽건물
map1,293,227672.54959201,378631.0601270464,3.0,1,주택,일반주택
map1,294,227498.41854894834,379369.42965707637,3.0,1,근린생활시설,주택외건물
